order_id,customer_id,date,__v,product_id,quantity,price_per_item,total_price
1,1,2020-03-02 00:00:00+00:00,0,1,4,10.0,40.0
1,1,2020-03-02 00:00:00+00:00,0,2,1,10.0,10.0
1,1,2020-03-02 00:00:00+00:00,0,3,6,10.0,60.0
2,1,2020-01-02 00:00:00+00:00,0,2,4,10.0,40.0
2,1,2020-01-02 00:00:00+00:00,0,1,10,10.0,100.0
2,1,2020-01-02 00:00:00+00:00,0,5,2,10.0,20.0
3,2,2020-03-01 00:00:00+00:00,0,1,2,10.0,20.0
3,2,2020-03-01 00:00:00+00:00,0,9,1,10.0,10.0
4,3,2020-01-01 00:00:00+00:00,0,1,4,10.0,40.0
5,3,2020-03-01 00:00:00+00:00,0,7,1,10.0,10.0
5,3,2020-03-01 00:00:00+00:00,0,8,1,10.0,10.0
6,4,2020-03-01 00:00:00+00:00,0,10,2,10.0,20.0
6,4,2020-03-01 00:00:00+00:00,0,12,3,10.0,30.0
7,8,2020-03-01 00:00:00+00:00,0,18,1,10.0,10.0
